time,open,high,low,close,volume
2020-06-10,0.4,0.4,0.4,0.4,0
2020-06-11,0.4,0.4,0.4,0.4,0
2020-06-12,0.4,0.5,0.3,0.5,689630
2020-06-15,0.4,0.4,0.4,0.5,0
2020-06-16,0.4,0.4,0.4,0.5,0
2020-06-17,0.4,0.4,0.4,0.5,0
2020-06-18,0.4,0.4,0.4,0.5,0
2020-06-19,0.4,0.5,0.4,0.5,1671482
2020-06-22,0.5,0.5,0.5,0.5,0
2020-06-23,0.5,0.5,0.5,0.5,0
2020-06-24,0.5,0.5,0.5,0.5,0
2020-06-25,0.5,0.5,0.5,0.5,0
2020-06-26,0.5,0.6,0.4,0.5,648402
2020-06-29,0.5,0.5,0.5,0.5,0
2020-06-30,0.5,0.5,0.5,0.5,0
2020-07-01,0.5,0.5,0.5,0.5,0
2020-07-02,0.5,0.5,0.5,0.5,0
2020-07-03,0.5,0.5,0.4,0.4,57758
2020-07-06,0.4,0.4,0.4,0.4,0
2020-07-07,0.4,0.4,0.4,0.4,0
2020-07-08,0.4,0.4,0.4,0.4,0
2020-07-09,0.4,0.4,0.4,0.4,0
2020-07-10,0.4,0.5,0.4,0.4,277795
2020-07-13,0.4,0.4,0.4,0.4,0
2020-07-14,0.4,0.4,0.4,0.4,0
2020-07-15,0.4,0.4,0.4,0.4,0
2020-07-16,0.4,0.4,0.4,0.4,0
2020-07-17,0.4,0.5,0.4,0.4,719901
2020-07-20,0.4,0.4,0.4,0.4,0
2020-07-21,0.4,0.4,0.4,0.4,0
2020-07-22,0.4,0.4,0.4,0.4,0
2020-07-23,0.4,0.4,0.4,0.4,0
2020-07-24,0.4,0.5,0.3,0.4,449800
2020-07-27,0.4,0.4,0.4,0.4,0
2020-07-28,0.4,0.4,0.4,0.4,0
2020-07-29,0.4,0.4,0.4,0.4,0
2020-07-30,0.4,0.4,0.4,0.4,0
2020-07-31,0.4,0.5,0.4,0.4,401000
2020-08-03,0.4,0.4,0.4,0.4,0
2020-08-04,0.4,0.4,0.4,0.4,0
2020-08-05,0.4,0.4,0.4,0.4,0
2020-08-06,0.4,0.4,0.4,0.4,0
2020-08-07,0.3,0.4,0.3,0.3,130000
2020-08-10,0.4,0.4,0.4,0.3,0
2020-08-11,0.4,0.4,0.4,0.3,0
2020-08-12,0.4,0.4,0.4,0.3,0
2020-08-13,0.4,0.4,0.4,0.3,0
2020-08-14,0.4,0.5,0.3,0.5,217500
2020-08-17,0.4,0.4,0.4,0.5,0
2020-08-18,0.4,0.4,0.4,0.5,0
2020-08-19,0.4,0.4,0.4,0.5,0
2020-08-20,0.4,0.4,0.4,0.5,0
2020-08-21,0.5,0.5,0.4,0.5,243874
2020-08-24,0.4,0.4,0.4,0.5,0
2020-08-25,0.4,0.4,0.4,0.5,0
2020-08-26,0.4,0.4,0.4,0.5,0
2020-08-27,0.4,0.4,0.4,0.5,0
2020-08-28,0.4,0.5,0.4,0.5,322502
2020-08-31,0.5,0.5,0.5,0.5,0
2020-09-01,0.5,0.5,0.5,0.5,0
2020-09-03,0.5,0.5,0.5,0.5,0
2020-09-04,0.5,0.6,0.4,0.6,2054311
2020-09-07,0.6,0.6,0.6,0.6,0
2020-09-08,0.6,0.6,0.6,0.6,0
2020-09-09,0.6,0.6,0.6,0.6,0
2020-09-10,0.6,0.6,0.6,0.6,0
2020-09-11,0.6,0.7,0.5,0.6,1961512
2020-09-14,0.5,0.5,0.5,0.6,0
2020-09-15,0.5,0.5,0.5,0.6,0
2020-09-16,0.5,0.5,0.5,0.6,0
2020-09-17,0.5,0.5,0.5,0.6,0
2020-09-18,0.6,0.6,0.4,0.6,524382
2020-09-21,0.5,0.5,0.5,0.6,0
2020-09-22,0.5,0.5,0.5,0.6,0
2020-09-23,0.5,0.5,0.5,0.6,0
2020-09-24,0.5,0.5,0.5,0.6,0
2020-09-25,0.5,0.6,0.4,0.6,822800
2020-09-28,0.5,0.5,0.5,0.6,0
2020-09-29,0.5,0.5,0.5,0.6,0
2020-09-30,0.5,0.5,0.5,0.6,0
2020-10-01,0.5,0.5,0.5,0.6,0
2020-10-02,0.6,0.6,0.5,0.5,206830
2020-10-05,0.5,0.5,0.5,0.5,0
2020-10-06,0.5,0.5,0.5,0.5,0
2020-10-07,0.5,0.5,0.5,0.5,0
2020-10-08,0.5,0.5,0.5,0.5,0
2020-10-09,0.6,0.6,0.5,0.6,58800
2020-10-12,0.6,0.6,0.5,0.58,0
2020-10-13,0.6,0.6,0.5,0.58,0
2020-10-14,0.6,0.6,0.5,0.58,0
2020-10-15,0.6,0.6,0.5,0.58,0
2020-10-16,0.5,0.6,0.5,0.5,472100
2020-10-19,0.5,0.6,0.5,0.5,0
2020-10-20,0.5,0.6,0.5,0.5,0
2020-10-21,0.5,0.5,0.5,0.5,0
2020-10-22,0.5,0.5,0.5,0.5,0
2020-10-23,0.6,0.6,0.4,0.6,254100
2020-10-26,0.5,0.5,0.5,0.6,0
2020-10-27,0.5,0.5,0.5,0.6,0
2020-10-28,0.5,0.5,0.5,0.6,0
2020-10-29,0.5,0.5,0.5,0.6,0
2020-10-30,0.5,0.6,0.4,0.5,344300
2020-11-02,0.5,0.5,0.5,0.5,0
2020-11-03,0.5,0.5,0.5,0.5,0
2020-11-04,0.5,0.5,0.5,0.5,0
2020-11-05,0.5,0.5,0.5,0.5,0
2020-11-06,0.4,0.5,0.4,0.5,79900
2020-11-09,0.5,0.5,0.5,0.5,0
2020-11-10,0.5,0.5,0.5,0.5,0
2020-11-11,0.5,0.5,0.5,0.5,0
2020-11-12,0.5,0.5,0.5,0.5,0
2020-11-13,0.5,0.5,0.4,0.5,22700
2020-11-16,0.5,0.5,0.5,0.5,0
2020-11-17,0.5,0.5,0.5,0.5,0
2020-11-18,0.5,0.5,0.5,0.5,0
2020-11-19,0.5,0.5,0.5,0.5,0
2020-11-20,0.4,0.6,0.4,0.5,195400
2020-11-23,0.5,0.5,0.5,0.5,0
2020-11-24,0.5,0.5,0.5,0.5,0
2020-11-25,0.5,0.5,0.5,0.5,0
2020-11-26,0.5,0.5,0.5,0.5,0
2020-11-27,0.5,0.5,0.4,0.5,43700
2020-11-30,0.5,0.5,0.5,0.5,0
2020-12-01,0.5,0.5,0.5,0.5,0
2020-12-02,0.5,0.5,0.5,0.5,0
2020-12-03,0.5,0.5,0.5,0.5,0
2020-12-04,0.5,0.5,0.4,0.4,137900
2020-12-07,0.4,0.4,0.4,0.4,0
2020-12-08,0.4,0.4,0.4,0.4,0
2020-12-09,0.4,0.4,0.4,0.4,0
2020-12-10,0.4,0.4,0.4,0.4,0
2020-12-11,0.5,0.5,0.5,0.5,1154832
2020-12-14,0.5,0.5,0.5,0.5,0
2020-12-15,0.5,0.5,0.5,0.5,0
2020-12-16,0.5,0.5,0.5,0.5,0
2020-12-17,0.5,0.5,0.5,0.5,0
2020-12-18,0.5,0.6,0.5,0.6,589412
2020-12-21,0.6,0.6,0.6,0.6,0
2020-12-22,0.6,0.6,0.6,0.6,0
2020-12-23,0.6,0.6,0.6,0.6,0
2020-12-24,0.6,0.6,0.6,0.6,0
2020-12-25,0.6,0.6,0.5,0.6,688041
2020-12-28,0.6,0.6,0.6,0.6,0
2020-12-29,0.6,0.6,0.6,0.6,0
2020-12-30,0.6,0.6,0.6,0.6,0
2020-12-31,0.6,0.6,0.6,0.6,0
2021-01-04,0.6,0.6,0.6,0.6,0
2021-01-05,0.6,0.6,0.6,0.6,0
2021-01-06,0.6,0.6,0.6,0.6,0
2021-01-07,0.6,0.6,0.6,0.6,0
2021-01-08,0.6,0.7,0.6,0.7,2869439
2021-01-11,0.6,0.6,0.6,0.7,0
2021-01-12,0.6,0.6,0.6,0.7,0
2021-01-13,0.6,0.6,0.6,0.7,0
2021-01-14,0.6,0.6,0.6,0.7,0
2021-01-15,0.6,0.7,0.6,0.7,1475320
2021-01-18,0.7,0.7,0.7,0.7,0
2021-01-19,0.7,0.7,0.7,0.7,0
2021-01-20,0.7,0.7,0.7,0.7,0
2021-01-21,0.7,0.7,0.7,0.7,0
2021-01-22,0.8,0.8,0.8,0.8,609844
2021-01-25,0.8,0.8,0.8,0.8,0
2021-01-26,0.8,0.8,0.8,0.8,0
2021-01-27,0.8,0.8,0.8,0.8,0
2021-01-28,0.8,0.8,0.8,0.8,0
2021-01-29,0.9,0.9,0.7,0.9,5355143
2021-02-01,0.8,0.8,0.8,0.9,0
2021-02-02,0.8,0.8,0.8,0.9,0
2021-02-03,0.8,0.8,0.8,0.9,0
2021-02-04,0.8,0.8,0.8,0.9,0
2021-02-05,0.9,0.9,0.8,0.9,1177257
2021-02-08,0.8,0.8,0.8,0.9,0
2021-02-09,0.8,0.8,0.8,0.9,0
2021-02-17,0.8,0.8,0.8,0.8,0
2021-02-18,0.8,0.8,0.8,0.9,0
2021-02-19,0.9,0.9,0.8,0.9,992807
2021-02-22,0.9,0.9,0.9,0.9,0
2021-02-23,0.9,0.9,0.9,0.9,0
2021-02-24,0.9,0.9,0.9,0.9,0
2021-02-25,0.9,0.9,0.9,0.9,0
2021-02-26,0.9,1.0,0.8,1.0,2224161
2021-03-01,0.9,0.9,0.9,1.0,0
2021-03-02,0.9,0.9,0.9,1.0,0
2021-03-03,0.9,0.9,0.9,1.0,0
2021-03-04,0.9,0.9,0.9,1.0,0
2021-03-05,1.0,1.0,0.9,1.0,2706230
2021-03-08,0.9,0.9,0.9,1.0,0
2021-03-09,0.9,0.9,0.9,1.0,0
2021-03-10,0.9,0.9,0.9,1.0,0
2021-03-11,0.9,0.9,0.9,1.0,0
2021-03-12,1.0,1.0,0.9,1.0,1292879
2021-03-15,1.0,1.0,1.0,1.0,0
2021-03-16,1.0,1.0,1.0,1.0,0
2021-03-17,1.0,1.0,1.0,1.0,0
2021-03-18,1.0,1.0,1.0,1.0,0
2021-03-19,0.9,1.1,0.9,1.0,2305455
2021-03-22,1.0,1.0,1.0,1.0,0
2021-03-23,1.0,1.0,1.0,1.0,0
2021-03-24,1.0,1.0,1.0,1.0,0
2021-03-25,1.0,1.0,1.0,1.0,0
2021-03-26,1.0,1.1,0.9,1.0,5102524
2021-03-29,0.9,0.9,0.9,1.0,0
2021-03-30,0.9,0.9,0.9,1.0,0
2021-03-31,0.9,0.9,0.9,1.0,0
2021-04-01,0.9,0.9,0.9,1.0,0
2021-04-02,0.9,1.0,0.9,1.0,4160556
2021-04-05,1.0,1.0,1.0,1.0,0
2021-04-06,1.0,1.0,1.0,1.0,0
2021-04-07,1.0,1.0,1.0,1.0,0
2021-04-08,1.0,1.0,1.0,1.0,0
2021-04-09,1.0,1.1,1.0,1.1,2033011
2021-04-12,1.1,1.1,1.1,1.1,0
2021-04-13,1.1,1.1,1.1,1.1,0
2021-04-14,1.1,1.1,1.1,1.1,0
2021-04-15,1.1,1.1,1.1,1.1,0
2021-04-16,1.2,1.2,1.2,1.2,788646
2021-04-19,1.2,1.2,1.2,1.2,0
2021-04-20,1.2,1.2,1.2,1.2,0
2021-04-22,1.2,1.2,1.2,1.2,0
2021-04-23,1.3,1.3,1.3,1.3,2511900
2021-04-26,1.3,1.3,1.3,1.3,0
2021-04-27,1.3,1.3,1.3,1.3,0
2021-04-28,1.3,1.3,1.3,1.3,0
2021-04-29,1.3,1.3,1.3,1.3,0
2021-05-04,1.3,1.3,1.3,1.3,0
2021-05-05,1.3,1.3,1.3,1.3,0
2021-05-06,1.3,1.3,1.3,1.3,0
2021-05-07,1.4,1.4,1.4,1.4,989180
2021-05-10,1.4,1.4,1.4,1.4,0
2021-05-11,1.4,1.4,1.4,1.4,0
2021-05-12,1.4,1.4,1.4,1.4,0
2021-05-13,1.4,1.4,1.4,1.4,0
2021-05-14,1.6,1.6,1.6,1.6,357442
2021-05-17,1.6,1.6,1.6,1.6,0
2021-05-18,1.6,1.6,1.6,1.6,0
2021-05-19,1.6,1.6,1.6,1.6,0
2021-05-20,1.6,1.6,1.6,1.6,0
2021-05-21,1.8,1.8,1.6,1.8,9367804
2021-05-24,1.8,1.8,1.8,1.8,0
2021-05-25,1.8,1.8,1.8,1.8,0
2021-05-26,1.8,1.8,1.8,1.8,0
2021-05-27,1.8,1.8,1.8,1.8,0
2021-05-28,1.9,1.9,1.6,1.7,3727225
2021-05-31,1.7,1.7,1.7,1.7,0
2021-06-01,1.7,1.7,1.7,1.7,0
2021-06-02,1.7,1.7,1.7,1.7,0
2021-06-03,1.7,1.7,1.7,1.7,0
2021-06-04,1.7,1.8,1.6,1.8,3240796
2021-06-07,1.7,1.7,1.7,1.8,0
2021-06-08,1.7,1.7,1.7,1.8,0
2021-06-09,1.7,1.7,1.7,1.8,0
2021-06-10,1.7,1.7,1.7,1.8,0
2021-06-11,1.7,1.8,1.6,1.6,2073229
2021-06-14,1.7,1.7,1.7,1.6,0
2021-06-15,1.7,1.7,1.7,1.6,0
2021-06-16,1.7,1.7,1.7,1.6,0
2021-06-17,1.7,1.7,1.7,1.6,0
2021-06-18,1.7,1.7,1.5,1.6,5841779
2021-06-21,1.5,1.5,1.5,1.6,0
2021-06-22,1.5,1.5,1.5,1.6,0
2021-06-23,1.5,1.5,1.5,1.6,0
2021-06-24,1.5,1.5,1.5,1.6,0
2021-06-25,1.5,1.5,1.4,1.5,762664
2021-06-28,1.5,1.5,1.5,1.5,0
2021-06-29,1.5,1.5,1.5,1.5,0
2021-06-30,1.5,1.5,1.5,1.5,0
2021-07-01,1.5,1.5,1.5,1.5,0
2021-07-02,1.5,1.6,1.4,1.5,1901800
2021-07-05,1.5,1.5,1.5,1.5,0
2021-07-06,1.5,1.5,1.5,1.5,0
2021-07-07,1.5,1.5,1.5,1.5,0
2021-07-08,1.5,1.5,1.5,1.5,0
2021-07-09,1.5,1.5,1.3,1.4,2623460
2021-07-12,1.4,1.4,1.4,1.4,0
2021-07-13,1.4,1.4,1.4,1.4,0
2021-07-14,1.4,1.4,1.4,1.4,0
2021-07-15,1.4,1.4,1.4,1.4,0
2021-07-16,1.4,1.4,1.3,1.4,628301
2021-07-19,1.4,1.4,1.4,1.4,0
2021-07-20,1.4,1.4,1.4,1.4,0
2021-07-21,1.4,1.4,1.4,1.4,0
2021-07-22,1.4,1.4,1.4,1.4,0
2021-07-23,1.4,1.6,1.4,1.6,3723299
2021-07-26,1.5,1.5,1.5,1.6,0
2021-07-27,1.5,1.5,1.5,1.6,0
2021-07-28,1.5,1.5,1.5,1.6,0
2021-07-29,1.5,1.5,1.5,1.6,0
2021-07-30,1.5,1.7,1.5,1.7,2742033
2021-08-02,1.6,1.6,1.6,1.6,0
2021-08-03,1.6,1.6,1.6,1.7,0
2021-08-04,1.6,1.6,1.6,1.7,0
2021-08-05,1.6,1.6,1.6,1.7,0
2021-08-06,1.6,1.8,1.6,1.8,2530786
2021-08-09,1.7,1.7,1.7,1.8,0
2021-08-10,1.7,1.7,1.7,1.8,0
2021-08-11,1.7,1.7,1.7,1.8,0
2021-08-12,1.7,1.7,1.7,1.8,0
2021-08-13,1.8,1.8,1.6,1.7,2076648
2021-08-16,1.7,1.7,1.7,1.7,0
2021-08-17,1.7,1.7,1.7,1.7,0
2021-08-18,1.7,1.7,1.7,1.7,0
2021-08-19,1.7,1.7,1.7,1.7,0
2021-08-20,1.7,1.7,1.5,1.5,2249422
2021-08-23,1.6,1.6,1.6,1.5,0
2021-08-24,1.6,1.6,1.6,1.5,0
2021-08-25,1.6,1.6,1.6,1.5,0
2021-08-26,1.6,1.6,1.6,1.5,0
2021-08-27,1.6,1.6,1.4,1.51,1436800
2021-08-30,1.5,1.5,1.5,1.5,0
2021-08-31,1.5,1.5,1.5,1.5,0
2021-09-01,1.5,1.5,1.5,1.5,0
2021-09-06,1.5,1.5,1.5,1.5,0
2021-09-07,1.5,1.5,1.5,1.5,0
2021-09-08,1.5,1.5,1.5,1.5,0
2021-09-09,1.5,1.5,1.5,1.5,0
2021-09-10,1.5,1.7,1.5,1.6,1764113
2021-09-13,1.6,1.6,1.6,1.6,0
2021-09-14,1.6,1.6,1.6,1.6,0
2021-09-15,1.6,1.6,1.6,1.6,0
2021-09-16,1.6,1.6,1.6,1.6,0
2021-09-17,1.7,1.8,1.6,1.8,3250882
2021-09-20,1.8,1.8,1.8,1.8,0
2021-09-21,1.8,1.8,1.8,1.8,0
2021-09-22,1.8,1.8,1.8,1.8,0
2021-09-23,1.8,1.8,1.8,1.8,0
2021-09-24,1.9,2.0,1.9,2.0,2327241
2021-09-27,2.0,2.0,2.0,2.0,0
2021-09-28,2.0,2.0,2.0,2.0,0
2021-09-29,2.0,2.0,2.0,2.0,0
2021-09-30,2.0,2.0,2.0,2.0,0
2021-10-01,2.2,2.3,2.2,2.3,1764238
2021-10-04,2.3,2.3,2.3,2.3,0
2021-10-05,2.3,2.3,2.3,2.3,0
2021-10-06,2.3,2.3,2.3,2.3,0
2021-10-07,2.3,2.3,2.3,2.3,0
2021-10-08,2.6,2.6,2.4,2.6,8420477
2021-10-11,2.6,2.6,2.6,2.6,0
2021-10-12,2.6,2.6,2.6,2.6,0
2021-10-13,2.6,2.6,2.6,2.6,0
2021-10-14,2.6,2.6,2.6,2.6,0
2021-10-15,2.8,2.9,2.7,2.9,2246587
2021-10-18,2.9,2.9,2.9,2.9,0
2021-10-19,2.9,2.9,2.9,2.9,0
2021-10-20,2.9,2.9,2.9,2.9,0
2021-10-21,2.9,2.9,2.9,2.9,0
2021-10-22,2.9,3.3,2.9,3.3,4370100
2021-10-25,3.3,3.3,3.3,3.3,0
2021-10-26,3.3,3.3,3.3,3.3,0
2021-10-27,3.3,3.3,3.3,3.3,0
2021-10-28,3.3,3.3,3.3,3.3,0
2021-10-29,3.7,3.7,3.6,3.7,4129036
2021-11-01,3.7,3.7,3.7,3.7,0
2021-11-02,3.7,3.7,3.7,3.7,0
2021-11-03,3.7,3.7,3.7,3.7,0
2021-11-04,3.7,3.7,3.7,3.7,0
2021-11-05,4.1,4.2,3.2,3.4,5026070
2021-11-08,3.6,3.6,3.6,3.6,0
2021-11-09,3.6,3.6,3.6,3.6,0
2021-11-10,3.6,3.6,3.6,3.6,0
2021-11-11,3.6,3.6,3.6,3.6,0
2021-11-12,3.5,3.6,3.2,3.5,4718355
2021-11-15,3.4,3.4,3.4,3.4,0
2021-11-16,3.4,3.4,3.4,3.4,0
2021-11-17,3.4,3.4,3.4,3.4,0
2021-11-18,3.4,3.4,3.4,3.4,0
2021-11-19,3.4,3.6,3.2,3.3,3641869
2021-11-22,3.4,3.4,3.4,3.4,0
2021-11-23,3.4,3.4,3.4,3.4,0
2021-11-24,3.4,3.4,3.4,3.4,0
2021-11-25,3.4,3.4,3.4,3.4,0
2021-11-26,3.3,3.5,3.0,3.2,3869564
2021-11-29,3.2,3.2,3.2,3.2,0
2021-11-30,3.2,3.2,3.2,3.2,0
2021-12-01,3.2,3.2,3.2,3.2,0
2021-12-02,3.2,3.2,3.2,3.2,0
2021-12-03,3.3,3.6,3.1,3.6,7029956
2021-12-06,3.5,3.5,3.5,3.5,0
2021-12-07,3.5,3.5,3.5,3.5,0
2021-12-08,3.5,3.5,3.5,3.5,0
2021-12-09,3.5,3.5,3.5,3.5,0
2021-12-10,3.9,4.0,3.3,3.4,4265607
2021-12-13,3.5,3.5,3.5,3.5,0
2021-12-14,3.5,3.5,3.5,3.5,0
2021-12-15,3.5,3.5,3.5,3.5,0
2021-12-16,3.5,3.5,3.5,3.5,0
2021-12-17,3.5,3.5,3.2,3.3,3060250
2021-12-20,3.4,3.4,3.4,3.4,0
2021-12-21,3.4,3.4,3.4,3.4,0
2021-12-22,3.4,3.4,3.4,3.4,0
2021-12-23,3.4,3.4,3.4,3.4,0
2021-12-24,3.4,3.6,3.2,3.5,3261836
2021-12-27,3.5,3.5,3.5,3.5,0
2021-12-28,3.5,3.5,3.5,3.5,0
2021-12-29,3.5,3.5,3.5,3.5,0
2021-12-30,3.5,3.5,3.5,3.5,0
2021-12-31,3.5,3.9,3.4,3.8,4022047
2021-12-31,3.5,3.9,3.4,3.8,4022047
2022-01-04,3.6,3.6,3.6,3.6,0
2022-01-05,3.6,3.6,3.6,3.6,0
2022-01-06,3.6,3.6,3.6,3.6,0
2022-01-07,3.8,4.1,3.8,4.1,3075264
2022-01-10,4.1,4.1,4.1,4.1,0
2022-01-11,4.1,4.1,4.1,4.1,0
2022-01-12,4.1,4.1,4.1,4.1,0
2022-01-13,4.1,4.1,4.1,4.1,0
2022-01-14,3.5,4.1,3.5,3.8,4728557
2022-01-17,3.8,3.8,3.8,3.8,0
2022-01-18,3.8,3.8,3.8,3.8,0
2022-01-19,3.8,3.8,3.8,3.8,0
2022-01-20,3.8,3.8,3.8,3.8,0
2022-01-21,3.9,4.1,3.6,3.8,2311206
2022-01-24,3.8,3.8,3.8,3.8,0
2022-01-25,3.8,3.8,3.8,3.8,0
2022-01-26,3.8,3.8,3.8,3.8,0
2022-01-27,3.8,3.8,3.8,3.8,0
2022-01-28,3.6,3.7,3.3,3.4,3409980
2022-02-07,3.4,3.4,3.4,3.4,0
2022-02-08,3.4,3.4,3.4,3.4,0
2022-02-09,3.4,3.4,3.4,3.4,0
2022-02-10,3.4,3.4,3.4,3.4,0
2022-02-11,3.4,3.7,3.3,3.5,1900610
2022-02-14,3.5,3.5,3.5,3.5,0
2022-02-15,3.5,3.5,3.5,3.5,0
2022-02-16,3.5,3.5,3.5,3.5,0
2022-02-17,3.5,3.5,3.5,3.5,0
2022-02-18,3.6,3.6,3.4,3.5,1336191
2022-02-21,3.5,3.5,3.5,3.5,0
2022-02-22,3.5,3.5,3.5,3.5,0
2022-02-23,3.5,3.5,3.5,3.5,0
2022-02-24,3.5,3.5,3.5,3.5,0
2022-02-25,3.4,3.6,3.4,3.5,2252061
2022-02-28,3.5,3.5,3.5,3.5,0
2022-03-01,3.5,3.5,3.5,3.5,0
2022-03-02,3.5,3.5,3.5,3.5,0
2022-03-03,3.5,3.5,3.5,3.5,0
2022-03-04,3.4,3.5,3.2,3.3,3803090
2022-03-07,3.3,3.3,3.3,3.3,0
2022-03-08,3.3,3.3,3.3,3.3,0
2022-03-09,3.3,3.3,3.3,3.3,0
2022-03-10,3.3,3.3,3.3,3.3,0
2022-03-11,3.2,3.4,3.2,3.3,2437286
2022-03-14,3.3,3.3,3.3,3.3,0
2022-03-15,3.3,3.3,3.3,3.3,0
2022-03-16,3.3,3.3,3.3,3.3,0
2022-03-17,3.3,3.3,3.3,3.3,0
2022-03-18,3.3,3.6,3.3,3.6,4807687
2022-03-21,3.5,3.5,3.5,3.5,0
2022-03-22,3.5,3.5,3.5,3.5,0
