time,open,high,low,close,volume
2022-02-28,65.96,65.96,64.25,65.07,366200
2022-03-01,64.25,65.07,63.22,63.88,440800
2022-03-02,63.36,63.36,61.07,63.36,851100
2022-03-03,63.44,65.14,62.92,64.99,297500
2022-03-04,64.99,64.99,63.51,64.92,425000
2022-03-07,63.51,64.33,62.03,63.66,702400
2022-03-08,62.33,64.1,62.18,63.22,410300
2022-03-09,63.29,64.18,61.37,64.18,731400
2022-03-10,64.18,68.1,64.18,67.95,2089200
2022-03-11,68.03,70.25,67.95,68.69,1125300
2022-03-14,66.99,68.69,65.88,68.1,649000
2022-03-15,67.07,70.18,66.25,70.03,1341000
2022-03-16,70.03,72.54,70.03,71.95,1137200
2022-03-17,72.25,73.43,71.28,72.32,733800
2022-03-18,72.54,73.58,70.92,72.25,1281500
2022-03-21,71.28,72.47,70.25,72.03,820300
2022-03-22,71.14,72.54,70.54,71.73,704900
2022-03-23,71.66,72.99,70.69,72.4,1017400
2022-03-24,71.95,72.47,71.06,71.73,730300
2022-03-25,71.43,76.24,70.54,76.24,1910800
2022-03-28,75.58,76.61,74.99,75.5,994000
2022-03-29,75.87,80.61,75.87,80.61,1436700
2022-03-30,79.2,80.98,77.72,79.72,809000
2022-03-31,80.61,84.31,79.72,80.69,1036900
2022-04-01,80.09,82.91,79.58,82.09,508700
2022-04-04,82.68,82.68,80.46,81.06,678600
2022-04-05,79.95,82.76,79.58,82.31,677800
2022-04-06,82.17,85.13,81.65,82.17,684400
2022-04-07,82.17,82.17,76.47,81.06,1572100
2022-04-08,79.95,81.06,78.46,79.72,787200
2022-04-12,79.72,80.39,76.24,77.5,903200
2022-04-13,77.28,81.06,75.13,81.06,1043400
2022-04-14,81.06,86.39,81.06,86.09,1620400
2022-04-15,86.09,88.75,85.13,87.2,663900
2022-04-18,86.61,86.98,84.31,86.61,1192900
2022-04-19,86.9,90.68,85.2,88.83,1000700
2022-04-20,88.83,89.2,85.87,88.09,569200
2022-04-21,87.35,87.35,83.87,86.46,794200
2022-04-22,86.61,86.61,80.46,80.46,1419600
2022-04-25,75.58,76.61,74.84,74.84,516800
2022-04-26,69.66,71.06,69.66,69.66,795600
2022-04-27,69.58,72.54,68.99,72.54,1103400
2022-04-28,72.54,73.88,71.51,72.54,610000
2022-04-29,71.8,73.95,71.58,73.65,811800
2022-05-04,72.4,72.91,70.18,70.32,805200
2022-05-05,70.03,71.8,65.44,65.44,2363000
2022-05-06,61.44,65.07,61.44,61.44,1116900
2022-05-09,60.03,61.07,57.15,57.15,1612600
2022-05-10,53.67,60.18,53.3,59.59,1017600
2022-05-11,60.33,61.44,58.48,59.22,760900
2022-05-12,58.55,59.44,55.07,55.07,771000
2022-05-13,54.93,55.81,51.22,51.22,1439300
2022-05-16,52.63,53.59,49.08,51.22,667200
2022-05-17,51.82,54.78,50.93,54.78,644000
2022-05-18,55.96,57.37,54.78,56.18,612200
2022-05-19,54.11,57.37,54.11,56.92,588200
2022-05-20,57.07,59.0,57.0,58.33,622400
2022-05-23,59.14,59.14,55.52,57.37,589200
2022-05-24,55.89,57.74,55.44,57.74,540300
2022-05-25,57.74,61.29,57.74,61.29,809700
2022-05-26,61.29,61.44,59.88,60.62,438100
2022-05-27,60.62,61.51,59.96,61.0,613900
2022-05-30,61.0,61.07,59.81,60.62,472500
2022-05-31,60.48,61.0,59.37,60.48,613800
2022-06-01,60.33,60.33,58.92,59.52,439600
2022-06-02,59.52,62.11,59.52,61.81,821900
2022-06-03,61.74,61.81,60.4,61.37,424700
2022-06-06,61.37,64.92,60.7,64.33,1453900
2022-06-07,64.4,66.55,62.55,66.47,923600
2022-06-08,66.62,67.58,66.25,66.92,533700
2022-06-09,66.62,66.77,65.36,65.96,465700
2022-06-10,65.51,65.73,63.07,63.07,713200
2022-06-13,59.29,62.33,58.7,58.7,997300
2022-06-14,55.67,61.44,55.67,61.44,913800
2022-06-15,61.37,61.66,59.66,61.07,644800
2022-06-16,61.74,62.03,60.7,60.7,566800
2022-06-17,60.89,63.19,58.86,63.1,732100
2022-06-20,62.73,64.48,60.89,62.55,544100
2022-06-21,62.55,62.55,58.21,59.04,394200
2022-06-22,59.96,59.96,56.09,56.74,870500
2022-06-23,56.74,59.04,56.09,59.04,552300
2022-06-24,59.32,59.32,57.2,58.21,648800
2022-06-27,58.03,58.21,56.74,58.21,387100
2022-06-28,57.75,59.6,57.47,59.04,514100
2022-06-29,58.58,58.95,57.75,57.75,178600
2022-06-30,58.12,58.67,57.2,57.2,269800
2022-07-01,56.27,58.86,55.63,58.76,519900
2022-07-04,57.94,59.23,57.47,58.03,134900
2022-07-05,57.94,57.94,55.35,55.35,264300
2022-07-06,54.89,55.81,52.58,52.77,328100
2022-07-07,52.58,53.88,52.12,53.51,286600
2022-07-08,53.69,56.0,53.69,55.81,270300
2022-07-11,55.81,56.09,53.69,54.61,156100
2022-07-12,55.35,56.64,54.71,56.64,220600
2022-07-13,56.64,58.03,56.18,57.38,261100
2022-07-14,57.2,58.86,56.37,57.94,258200
2022-07-15,58.21,59.32,58.12,58.12,287700
2022-07-18,58.4,58.86,57.66,57.94,155400
2022-07-19,57.94,58.12,56.92,57.47,136400
2022-07-20,58.21,60.89,58.21,60.8,659600
2022-07-21,61.44,61.44,60.52,60.8,251300
2022-07-22,60.7,62.27,59.69,60.8,242200
2022-07-25,60.43,60.43,59.04,60.06,262200
2022-07-26,60.52,60.52,59.87,60.06,186200
2022-07-27,59.5,60.7,59.32,60.33,145400
2022-07-28,61.62,62.18,60.89,61.81,479000
2022-07-29,61.81,63.38,61.53,62.27,260200
2022-08-01,62.73,63.29,61.99,62.73,316400
2022-08-02,62.73,63.01,61.99,62.18,299800
2022-08-03,61.9,64.76,61.72,64.76,537000
2022-08-04,65.32,65.32,63.93,64.3,262200
2022-08-05,63.75,64.21,63.66,64.21,177800
2022-08-08,64.21,64.58,63.84,64.12,235200
2022-08-09,64.48,64.76,63.93,64.3,235600
2022-08-10,64.21,64.3,62.73,62.92,715100
2022-08-11,63.66,63.84,62.92,63.66,523400
2022-08-12,63.66,63.84,62.73,63.38,162500
2022-08-15,63.66,65.96,63.66,65.78,583100
2022-08-16,65.5,65.68,64.95,65.59,527700
2022-08-17,66.42,68.36,66.14,67.62,827400
2022-08-18,67.34,68.64,66.79,68.18,563900
2022-08-19,68.18,69.37,67.34,68.27,482200
2022-08-22,68.18,69.0,67.62,68.36,478000
2022-08-23,67.53,69.0,67.53,68.27,302700
2022-08-24,68.64,70.3,68.27,70.3,495900
2022-08-25,71.04,71.5,69.74,70.02,391100
2022-08-26,69.93,70.67,69.19,69.28,285800
2022-08-29,67.53,68.64,65.96,67.34,764900
2022-08-30,68.08,68.27,66.42,66.42,361100
2022-08-31,66.7,68.27,66.42,67.62,299800
2022-09-05,67.62,68.82,67.62,67.99,231600
2022-09-06,67.99,69.37,67.99,68.45,314500
2022-09-07,68.45,68.45,66.24,66.33,418700
2022-09-08,67.25,67.25,65.78,66.05,259000
2022-09-09,65.68,66.42,64.39,66.42,419200
2022-09-12,67.34,67.62,66.61,66.79,218410
2022-09-13,66.79,67.53,65.68,66.79,228712
2022-09-14,65.78,67.44,65.78,67.34,331175
2022-09-15,69.1,69.1,67.62,67.71,228673
2022-09-16,67.71,68.18,66.88,66.88,247010
2022-09-19,66.88,66.88,63.19,63.66,530964
2022-09-20,65.04,65.04,63.56,64.76,208636
2022-09-21,64.02,65.5,63.93,65.5,286010
2022-09-22,63.93,65.78,63.93,65.13,167100
2022-09-23,65.13,66.7,64.67,65.22,194940
2022-09-26,65.22,65.22,61.81,63.01,400949
2022-09-27,63.19,63.29,61.81,61.81,264184
2022-09-28,61.72,61.72,57.57,57.57,483078
2022-09-29,59.13,59.96,57.38,57.38,215392
2022-09-30,57.2,57.57,53.51,55.35,909680
2022-10-03,55.35,55.63,51.48,51.48,670944
2022-10-04,53.97,53.97,51.29,51.94,285503
2022-10-05,52.86,55.08,52.86,54.06,200733
2022-10-06,53.41,54.06,51.85,52.95,286633
2022-10-07,51.38,52.95,49.82,50.37,459632
2022-10-10,50.28,53.14,49.82,52.68,342953
2022-10-11,52.77,53.88,50.83,52.58,585768
2022-10-12,53.04,56.18,52.68,56.0,503558
2022-10-13,56.74,56.74,54.52,55.17,272057
2022-10-14,56.09,56.55,54.98,55.17,355500
2022-10-17,55.17,55.72,53.97,55.35,235489
2022-10-18,56.46,56.55,55.26,55.35,359564
2022-10-19,55.35,56.18,54.98,56.0,346261
2022-10-20,55.63,56.0,54.98,55.35,308389
2022-10-21,54.89,55.35,51.48,51.48,506039
2022-10-24,51.48,51.75,47.88,47.88,526570
2022-10-25,47.88,49.82,44.74,47.88,435419
2022-10-26,47.97,48.8,46.13,47.51,253581
2022-10-27,47.51,49.63,47.14,49.45,299224
2022-10-28,49.82,51.38,49.82,50.37,384576
2022-10-31,50.74,51.11,49.45,51.02,265762
2022-11-01,51.11,51.66,50.46,50.46,248360
2022-11-02,50.56,50.56,49.17,49.45,198457
2022-11-03,49.54,49.54,48.25,48.25,176391
2022-11-04,48.43,48.43,45.39,45.85,385266
2022-11-07,45.99,46.13,42.67,42.67,476591
2022-11-08,41.51,42.71,40.64,41.88,333444
2022-11-09,42.62,42.99,41.51,42.25,290066
2022-11-10,41.51,41.88,39.3,39.3,409539
2022-11-11,41.79,41.79,38.84,40.13,869185
2022-11-14,37.92,38.93,37.36,37.36,300701
2022-11-15,34.78,34.78,34.78,34.78,108513
2022-11-16,32.38,36.62,32.38,36.35,789596
2022-11-17,36.44,37.36,36.44,36.85,286925
2022-11-18,37.27,37.46,34.41,37.46,362049
2022-11-21,37.82,39.44,37.82,38.84,328469
2022-11-22,38.75,40.13,37.96,39.35,342400
2022-11-23,38.84,40.73,38.84,40.68,439299
2022-11-24,40.5,40.64,39.21,40.22,351920
2022-11-25,40.27,41.51,40.27,41.51,225525
2022-11-28,42.16,44.42,42.16,44.42,340593
2022-11-29,45.3,46.03,44.28,45.76,349214
2022-11-30,46.13,48.71,45.3,48.43,622676
2022-12-01,48.99,49.63,45.39,45.57,702601
2022-12-02,45.3,48.16,44.28,47.88,332804
2022-12-05,48.06,49.45,47.79,47.97,376550
2022-12-06,47.51,48.99,45.76,46.4,562994
2022-12-07,45.9,47.05,44.19,44.19,490286
2022-12-08,45.02,47.23,44.97,46.5,515296
2022-12-09,46.59,47.7,46.4,47.23,233697
2022-12-12,47.23,49.26,47.23,48.43,363990
2022-12-13,48.52,48.89,47.23,48.89,273336
2022-12-14,49.82,50.46,48.89,50.09,338935
2022-12-15,49.82,51.48,49.82,51.02,289941
2022-12-16,50.65,52.58,50.0,52.49,365872
2022-12-19,52.49,52.77,50.65,50.65,212908
2022-12-20,49.26,50.56,48.25,48.89,324357
2022-12-21,48.99,49.72,45.76,47.6,223104
2022-12-22,48.71,48.99,47.51,47.97,252320
2022-12-23,47.51,48.71,47.33,48.43,132921
2022-12-26,47.7,47.97,46.13,46.13,274518
2022-12-27,45.71,47.05,45.39,47.05,192593
2022-12-28,46.59,47.14,46.4,47.05,115239
2022-12-29,47.05,47.05,46.68,46.68,157047
2022-12-30,46.59,47.05,46.13,46.5,60929
2022-12-30,46.59,47.05,46.13,46.5,60929
2023-01-03,46.5,48.89,46.5,48.89,170504
2023-01-04,48.89,49.45,48.71,48.8,100441
2023-01-05,48.8,49.36,48.25,49.08,144317
2023-01-06,48.89,49.08,48.43,48.43,140281
2023-01-09,48.52,48.8,48.34,48.71,80865
2023-01-10,48.34,49.26,48.06,48.43,94836
2023-01-11,48.89,49.72,48.43,49.45,143501
2023-01-12,49.45,50.0,49.36,49.54,59472
2023-01-13,49.72,50.46,49.45,49.54,252129
2023-01-16,50.37,50.37,48.71,49.54,167046
2023-01-17,49.72,52.22,49.54,51.85,236277
2023-01-18,52.31,55.44,51.2,55.17,385057
2023-01-19,55.17,56.18,53.88,54.24,187068
2023-01-27,55.17,57.94,54.34,56.0,323270
2023-01-30,56.0,57.1,55.9,56.18,200785
2023-01-31,56.18,57.2,54.98,57.2,198416
2023-02-01,57.2,59.04,55.54,56.27,345479
2023-02-02,56.18,56.92,55.17,56.46,207820
2023-02-03,56.27,57.01,56.27,57.01,159651
2023-02-06,56.64,56.64,55.54,55.54,111189
2023-02-07,55.72,56.18,55.35,56.18,148928
2023-02-08,56.27,56.55,55.35,56.55,86461
2023-02-09,56.55,56.55,56.0,56.09,115528
2023-02-10,57.01,57.01,55.54,56.18,124458
2023-02-13,55.54,55.63,52.95,53.14,197023
2023-02-14,53.14,53.97,52.22,52.58,98794
2023-02-15,52.03,53.41,51.48,52.58,142718
2023-02-16,53.88,54.24,52.95,53.97,139397
2023-02-17,54.43,54.43,53.32,53.32,107718
2023-02-20,54.15,55.81,53.69,55.54,210467
2023-02-21,55.81,56.27,54.89,54.89,107105
2023-02-22,54.89,54.89,52.58,52.58,147326
2023-02-23,53.04,53.51,52.22,53.51,167522
2023-02-24,53.51,53.51,52.4,52.4,109354
2023-02-27,52.31,52.77,50.74,51.11,407729
2023-02-28,52.22,52.58,50.56,50.65,76883
2023-03-01,50.09,52.58,50.09,52.58,232851
2023-03-02,53.51,53.51,51.85,51.85,67871
2023-03-03,52.12,52.58,51.57,51.57,75540
2023-03-06,52.86,52.86,51.57,51.85,140059
2023-03-07,52.03,52.22,51.66,51.94,32016
2023-03-08,51.2,53.04,51.2,53.04,97629
2023-03-09,52.68,53.32,52.68,53.04,117342
2023-03-10,51.85,52.95,51.85,52.58,84237
2023-03-13,52.12,52.49,51.66,51.94,75047
2023-03-14,51.94,52.12,51.02,51.11,87185
2023-03-15,53.41,53.41,51.85,52.22,59070
2023-03-16,51.48,52.22,51.48,52.22,86222
2023-03-17,52.58,52.58,51.75,51.85,22540
2023-03-20,51.66,52.03,51.11,51.2,60375
2023-03-21,51.48,51.48,50.92,51.48,38858
2023-03-22,51.66,52.58,51.48,51.48,41617
2023-03-23,51.48,51.48,51.2,51.48,25762
2023-03-24,51.57,52.03,51.48,51.57,53561
2023-03-27,51.48,52.12,51.48,51.75,52279
2023-03-28,51.75,52.4,51.75,52.4,96585
2023-03-29,52.4,52.58,51.75,52.31,99920
2023-03-30,52.49,55.08,52.49,54.89,539744
2023-03-31,55.35,57.1,54.98,56.27,651043
2023-04-03,57.2,57.66,56.37,57.66,280525
2023-04-04,57.66,57.66,56.83,57.57,177115
2023-04-05,57.2,59.23,56.92,59.23,216658
2023-04-06,59.13,61.35,59.13,60.52,298126
2023-04-07,60.52,60.52,58.86,59.04,181546
2023-04-10,59.23,60.8,57.94,58.67,184436
2023-04-11,59.6,61.26,58.86,61.26,321555
2023-04-12,61.26,62.18,59.96,60.15,144494
2023-04-13,60.15,60.7,59.87,60.33,65268
2023-04-14,60.8,60.98,59.04,59.04,173251
2023-04-17,58.58,59.78,58.3,59.41,76728
2023-04-18,59.13,60.33,59.13,59.69,138066
2023-04-19,60.43,60.43,58.86,59.13,89812
2023-04-20,59.87,59.87,58.03,58.76,121093
2023-04-21,58.49,58.95,58.12,58.4,59152
2023-04-24,58.12,58.67,57.2,57.66,95515
2023-04-25,57.75,60.15,57.66,60.15,193197
2023-04-26,60.06,63.19,59.23,61.26,574048
2023-04-27,62.55,62.55,60.89,60.89,148146
2023-04-28,60.89,61.99,60.52,61.35,208991
2023-05-04,60.98,61.35,57.2,58.21,286488
2023-05-05,58.12,59.87,57.66,59.04,180488
2023-05-08,59.13,60.89,59.13,60.52,92471
2023-05-09,60.52,61.07,59.87,60.7,295599
2023-05-10,60.7,61.07,59.87,60.06,280104
2023-05-11,60.33,61.35,59.96,61.35,187127
2023-05-12,61.35,62.27,60.89,61.99,251410
2023-05-15,61.99,62.73,60.43,61.99,178271
2023-05-16,61.99,61.99,61.07,61.44,103810
2023-05-17,61.26,61.99,60.89,60.89,84280
2023-05-18,60.89,61.35,60.52,60.61,210826
2023-05-19,61.72,61.72,60.89,61.53,139717
2023-05-22,62.09,64.21,62.09,63.66,569458
2023-05-23,64.85,65.59,63.93,65.41,340888
2023-05-24,65.41,66.33,64.67,65.22,351926
2023-05-25,65.13,65.96,64.3,65.87,190667
2023-05-26,65.5,66.05,64.48,64.48,161836
2023-05-29,65.96,65.96,64.39,64.85,231037
2023-05-30,64.85,65.22,64.21,65.04,132107
2023-05-31,64.85,65.5,64.85,65.5,67211
2023-06-01,65.5,67.62,65.22,67.16,150677
2023-06-02,67.25,67.81,66.61,67.81,175650
2023-06-05,67.71,67.71,65.96,66.88,121095
2023-06-06,66.98,67.07,66.24,66.79,63111
2023-06-07,66.14,66.88,65.5,66.88,143157
2023-06-08,66.42,66.7,65.32,65.32,164489
2023-06-09,65.41,65.5,64.58,65.5,92601
2023-06-12,65.5,66.42,65.5,65.78,79792
2023-06-13,66.98,68.27,65.96,67.9,280937
2023-06-14,68.36,68.36,65.96,65.96,128982
2023-06-15,65.96,66.79,65.96,66.7,47839
2023-06-16,67.16,67.34,65.78,66.7,196087
2023-06-19,66.33,66.7,65.41,65.41,77668
2023-06-20,65.32,65.96,65.32,65.96,120715
2023-06-21,66.14,66.24,65.5,65.68,105308
2023-06-22,67.25,67.25,65.5,65.68,132311
2023-06-23,65.78,67.07,65.78,66.98,306152
2023-06-26,66.98,68.45,66.24,67.62,258012
2023-06-27,68.27,68.36,67.16,67.34,90909
2023-06-28,67.34,67.81,66.98,66.98,87371
2023-06-29,67.07,67.82,65.95,66.04,165001
2023-06-30,66.32,66.42,65.95,65.95,107344
2023-07-03,65.95,66.04,65.29,65.95,118918
2023-07-04,65.95,67.54,65.95,67.54,142386
2023-07-05,67.16,68.29,67.16,68.1,210139
2023-07-06,68.1,68.57,66.42,67.35,138521
2023-07-07,67.35,70.44,67.16,69.78,476524
2023-07-10,69.78,71.28,69.5,70.91,401767
2023-07-11,71.0,72.22,69.22,69.97,392634
2023-07-12,70.72,70.72,69.22,69.88,322600
2023-07-13,69.69,70.63,69.22,69.22,263239
2023-07-14,69.69,70.34,68.76,69.32,315923
2023-07-17,69.41,69.41,68.47,69.13,330564
2023-07-18,69.13,70.44,68.94,70.44,297569
2023-07-19,70.91,71.19,69.22,69.22,198165
2023-07-20,69.22,69.32,68.76,69.32,185417
2023-07-21,69.32,69.69,68.85,69.22,202011
2023-07-24,69.22,69.78,69.13,69.22,194924
2023-07-25,69.6,69.6,68.57,68.76,261487
2023-07-26,69.13,69.22,68.01,68.29,357871
2023-07-27,68.29,68.38,67.16,67.82,191832
2023-07-28,67.82,68.76,67.35,67.54,190193
2023-07-31,67.82,68.66,67.35,68.1,210793
2023-08-01,68.29,68.57,67.82,68.1,289842
2023-08-02,67.35,68.38,67.35,67.91,162913
2023-08-03,67.73,68.29,67.35,67.35,170265
2023-08-04,67.35,67.91,67.16,67.54,233579
2023-08-07,67.54,69.22,67.35,69.22,388331
2023-08-08,70.16,70.34,69.41,69.78,250333
2023-08-09,69.78,70.16,69.04,69.22,199404
2023-08-10,69.22,69.69,68.29,68.29,172412
2023-08-11,67.82,68.47,67.63,68.29,218759
2023-08-14,68.1,68.29,67.35,67.63,241180
2023-08-15,67.63,68.29,67.26,68.29,188109
2023-08-16,68.29,69.78,67.82,69.22,318952
2023-08-17,69.5,69.69,67.91,67.91,181132
2023-08-18,67.91,68.66,64.17,64.54,368931
2023-08-21,64.54,66.79,63.52,65.95,291765
2023-08-22,65.48,68.76,64.54,68.76,277218
2023-08-23,68.76,68.76,67.44,68.66,118761
2023-08-24,68.57,69.97,68.01,69.41,164795
2023-08-25,69.69,74.18,69.32,74.18,918200
2023-08-28,74.18,77.64,74.18,74.93,276482
2023-08-29,75.02,76.71,74.37,75.68,267572
2023-08-30,76.24,78.2,75.68,77.74,448694
2023-08-31,79.04,79.04,77.17,77.92,190988
2023-09-05,77.92,78.58,76.8,78.02,276946
2023-09-06,78.2,78.58,75.21,76.71,252465
2023-09-07,76.24,78.3,76.24,77.64,152624
2023-09-08,77.64,79.42,76.71,78.95,235811
2023-09-11,79.51,79.51,76.14,76.52,269908
2023-09-12,76.8,77.17,75.86,77.17,142761
2023-09-13,77.64,80.07,76.71,76.71,337966
2023-09-14,76.71,76.8,73.9,73.9,470859
2023-09-15,73.99,75.02,72.68,73.15,350716
2023-09-18,74.09,74.09,72.96,73.06,194331
2023-09-19,73.24,77.45,72.68,77.17,618372
2023-09-20,78.11,78.86,77.08,78.3,318943
2023-09-21,79.42,79.42,75.68,76.24,636392
2023-09-22,75.21,76.99,70.91,70.91,4437145
2023-09-25,71.37,72.96,69.69,69.69,597298
2023-09-26,69.22,72.68,69.22,70.06,512289
2023-09-27,70.72,71.28,68.76,71.09,371910
2023-09-28,71.56,72.4,71.19,71.66,626056
2023-09-29,72.59,73.53,71.84,72.87,362912
2023-10-02,73.62,74.65,73.06,73.71,290314
2023-10-03,72.5,73.34,71.37,71.75,413890
2023-10-04,70.25,73.15,70.25,72.78,255735
2023-10-05,73.06,73.15,72.03,72.12,140422
2023-10-06,72.12,73.62,71.47,73.43,206668
2023-10-09,73.43,74.74,72.96,74.27,440750
2023-10-10,74.74,76.42,74.37,74.83,407148
2023-10-11,74.93,75.3,73.9,75.3,170788
2023-10-12,75.21,75.77,75.12,75.77,223060
2023-10-13,74.93,75.77,74.18,75.77,254174
2023-10-16,75.96,76.05,74.37,74.46,187677
2023-10-17,74.46,75.3,70.34,70.34,241765
2023-10-18,70.72,71.84,69.97,70.63,533488
2023-10-19,70.72,72.03,69.22,70.44,207915
2023-10-20,71.0,71.19,69.22,71.09,186300
2023-10-23,70.34,71.09,69.69,70.16,166482
2023-10-24,69.41,72.4,69.41,72.22,322441
2023-10-25,71.75,72.87,71.0,71.0,104169
2023-10-26,70.25,70.25,68.01,68.94,415410
2023-10-27,69.97,70.63,67.91,70.16,140028
2023-10-30,69.69,69.78,67.91,67.91,64594
2023-10-31,67.82,68.29,66.51,66.51,272835
2023-11-01,66.32,68.85,66.23,68.85,194394
2023-11-02,68.85,70.53,68.85,70.34,119574
2023-11-03,70.91,72.59,70.16,72.5,284395
2023-11-06,73.43,73.43,71.56,72.78,130482
2023-11-07,72.78,72.96,71.94,72.31,129338
2023-11-08,72.31,74.74,72.12,74.74,277848
2023-11-09,74.74,76.33,74.37,75.4,257509
2023-11-10,74.83,75.12,74.09,74.09,217784
2023-11-13,74.09,74.55,73.53,73.81,66273
2023-11-14,75.21,75.21,73.99,74.37,130908
2023-11-15,75.3,75.49,74.18,74.83,176250
2023-11-16,74.27,80.07,74.27,80.07,1073945
2023-11-17,81.48,83.16,80.45,80.73,494386
2023-11-20,79.51,80.35,78.39,79.42,642540
2023-11-21,79.42,83.25,79.42,82.41,646673
2023-11-22,82.41,83.63,81.1,82.41,375190
2023-11-23,82.41,82.69,78.2,78.2,361698
2023-11-24,78.76,82.51,76.8,82.32,840200
2023-11-27,82.41,82.41,80.92,80.92,138303
2023-11-28,79.7,81.94,79.51,81.94,183822
2023-11-29,82.04,85.12,81.1,84.84,580511
2023-11-30,84.19,86.06,83.72,86.06,404267
2023-12-01,85.22,85.97,83.91,84.84,263800
2023-12-04,84.84,85.03,84.0,85.03,325544
2023-12-05,85.03,86.15,83.63,83.82,421553
2023-12-06,83.35,84.38,82.51,82.97,403928
2023-12-07,82.97,85.12,82.79,84.66,463103
2023-12-08,84.66,86.06,83.63,84.66,259378
2023-12-11,84.66,85.41,83.44,83.82,216810
2023-12-12,84.38,85.59,83.07,85.41,350027
2023-12-13,85.87,86.34,83.54,83.63,329994
2023-12-14,83.82,84.28,82.88,82.88,280327
2023-12-15,82.32,83.07,81.94,81.94,279616
2023-12-18,81.94,81.94,80.45,81.01,295881
2023-12-19,81.01,81.76,80.26,81.29,174321
2023-12-20,81.94,81.94,80.26,81.29,87319
2023-12-21,81.01,81.29,80.45,81.2,109973
2023-12-22,81.57,84.38,81.48,83.63,285787
2023-12-25,84.38,86.06,83.54,86.06,521824
2023-12-26,87.0,87.0,84.28,85.59,454366
2023-12-27,85.41,86.15,84.94,84.94,403448
2023-12-28,85.12,85.12,84.28,84.38,178709
2023-12-29,84.47,87.93,83.91,85.87,767051
2024-01-02,87.0,87.0,85.12,85.78,141707
2024-01-03,85.78,86.44,84.75,85.59,255782
2024-01-04,86.06,88.3,85.12,85.12,555671
2024-01-05,85.5,85.97,85.03,85.78,204030
2024-01-08,86.53,87.0,85.78,86.62,257344
2024-01-09,86.53,86.62,85.69,85.87,139847
2024-01-10,85.87,85.97,84.94,85.5,290393
2024-01-11,85.5,86.62,84.84,86.53,229093
2024-01-12,86.44,86.44,80.54,84.19,236043
2024-01-15,84.19,85.59,83.72,83.72,164672
2024-01-16,83.35,85.22,82.97,85.12,151634
2024-01-17,85.12,85.31,84.19,84.47,141846
2024-01-18,85.07,86.79,84.59,86.4,142293
2024-01-19,86.4,89.37,86.4,87.84,394650
2024-01-22,87.93,88.89,87.17,88.32,228664
2024-01-23,88.7,88.89,87.55,88.51,203238
2024-01-24,88.6,89.18,88.12,88.51,163972
2024-01-25,88.89,88.89,86.98,87.55,148365
2024-01-26,87.93,88.12,87.17,87.84,93261
2024-01-29,88.41,88.41,87.17,88.12,104150
2024-01-30,88.12,88.89,87.65,88.6,130096
2024-01-31,88.89,88.89,86.6,87.26,229925
2024-02-01,87.26,90.32,86.98,90.32,721243
2024-02-02,90.32,91.18,90.04,90.9,254646
2024-02-05,90.9,94.53,90.9,92.71,716498
2024-02-06,93.57,93.57,91.76,92.14,135574
2024-02-07,92.23,93.19,91.76,92.23,172084
2024-02-15,92.23,92.71,90.99,91.47,147114
2024-02-16,91.18,92.9,90.7,92.9,258256
2024-02-19,92.9,93.19,92.14,93.19,171534
2024-02-20,93.38,93.48,91.76,92.71,167303
2024-02-21,92.71,92.71,91.09,91.76,247363
2024-02-22,91.95,95.01,91.76,94.91,378453
2024-02-23,95.58,95.77,93.19,93.86,309349
2024-02-26,93.76,99.21,93.67,97.59,585804
2024-02-27,97.59,99.4,97.11,97.68,225353
2024-02-28,97.68,99.31,96.25,97.97,235412
2024-02-29,97.97,101.31,97.4,100.36,297317
2024-03-01,101.31,101.31,99.4,100.36,205085
2024-03-04,100.84,100.93,99.4,99.5,232265
2024-03-05,99.31,100.26,98.45,99.4,249738
2024-03-06,99.4,103.13,98.73,99.4,474573
2024-03-07,99.4,102.18,99.4,101.6,299898
2024-03-08,101.7,102.75,100.36,100.55,170295
2024-03-11,101.31,107.53,101.22,107.53,879371
2024-03-12,109.92,114.98,109.72,112.69,1039270
2024-03-13,114.7,117.56,112.5,114.31,506227
2024-03-14,114.31,116.13,111.35,112.31,886874
2024-03-15,112.31,113.55,109.25,113.26,675201
2024-03-18,113.26,114.7,105.62,110.59,1067627
2024-03-19,110.97,114.7,110.01,112.78,276057
2024-03-20,112.4,115.65,109.92,113.84,609581
2024-03-21,115.56,121.77,114.22,121.77,935241
2024-03-22,121.77,123.11,120.53,122.63,323696
2024-03-25,125.21,125.97,121.58,124.25,299799
2024-03-26,124.25,129.03,122.34,129.03,360078
2024-03-27,129.03,137.25,127.79,136.39,560288
2024-03-28,136.39,140.5,135.91,135.91,296272
2024-03-29,135.72,135.72,127.31,132.19,686609
2024-04-01,131.9,131.9,128.08,128.56,476516
2024-04-02,128.65,133.52,128.56,131.42,274402
2024-04-03,131.42,133.43,129.03,129.03,359202
2024-04-04,128.08,131.04,126.36,127.6,409758
2024-04-05,126.16,129.8,125.78,126.36,444957
2024-04-08,128.65,128.65,120.24,121.39,646024
2024-04-09,120.05,122.34,119.28,119.38,482684
2024-04-10,119.95,122.82,119.95,120.14,187043
2024-04-11,119.0,119.0,115.65,117.47,611614
2024-04-12,117.08,121.39,117.08,119.76,153080
2024-04-15,119.48,121.1,111.45,111.45,462739
2024-04-16,111.45,114.22,105.62,114.22,613938
